"Date","Mean"
00:00:00 05/08/2001,      43.410
00:00:00 05/09/2001,      39.090
00:00:00 05/10/2001,      40.340
00:00:00 05/11/2001,      39.650
00:00:00 05/12/2001,      40.450
00:00:00 05/13/2001,      43.000
00:00:00 05/14/2001,      42.730
00:00:00 05/15/2001,      42.780
00:00:00 05/16/2001,      41.680
00:00:00 05/17/2001,      33.870
00:00:00 05/18/2001,      32.190
00:00:00 05/19/2001,      32.200
00:00:00 05/20/2001,      32.760
00:00:00 05/21/2001,      29.630
00:00:00 05/22/2001,      23.840
00:00:00 05/23/2001,      23.580
00:00:00 05/24/2001,      24.470
00:00:00 05/25/2001,      23.350
00:00:00 05/26/2001,      23.820
00:00:00 05/27/2001,      22.820
00:00:00 05/28/2001,      22.480
00:00:00 05/29/2001,      21.070
00:00:00 05/30/2001,      20.020
00:00:00 05/31/2001,      20.760
00:00:00 06/01/2001,      19.660
00:00:00 06/02/2001,      18.340
00:00:00 06/03/2001,      17.680
00:00:00 06/04/2001,      17.040
00:00:00 06/05/2001,      14.170
00:00:00 06/06/2001,      12.600
00:00:00 06/07/2001,      10.860
00:00:00 06/08/2001,      10.050
00:00:00 06/09/2001,       7.620
00:00:00 06/10/2001,       6.700
00:00:00 06/11/2001,       6.930
00:00:00 06/12/2001,       7.090
00:00:00 06/13/2001,       6.560
00:00:00 06/14/2001,       4.810
00:00:00 06/15/2001,       4.040
00:00:00 06/16/2001,       3.490
00:00:00 06/17/2001,       2.990
00:00:00 06/18/2001,       2.340
00:00:00 06/19/2001,       1.460
00:00:00 06/20/2001,       0.960
00:00:00 06/21/2001,       0.460
00:00:00 06/22/2001,       0.240
00:00:00 06/23/2001,       0.160
00:00:00 06/24/2001,       0.160
00:00:00 06/25/2001,       0.140
00:00:00 06/26/2001,       0.060
00:00:00 06/27/2001,       0.030
00:00:00 06/28/2001,       0.010
00:00:00 06/29/2001,       0.010
00:00:00 06/30/2001,       0.010
00:00:00 07/01/2001,       0.000
00:00:00 07/02/2001,       0.060
00:00:00 07/03/2001,       0.000
00:00:00 07/04/2001,       0.000
00:00:00 07/05/2001,       0.000
00:00:00 07/06/2001,       0.000
00:00:00 07/07/2001,       0.000
00:00:00 07/08/2001,       0.000
00:00:00 07/09/2001,       0.000
00:00:00 07/10/2001,       0.000
00:00:00 07/11/2001,       0.000
00:00:00 07/12/2001,       0.000
00:00:00 07/13/2001,       0.000
00:00:00 07/14/2001,       0.000
00:00:00 07/15/2001,       0.000
00:00:00 07/16/2001,       0.000
00:00:00 07/17/2001,       0.000
00:00:00 07/18/2001,       0.000
00:00:00 07/19/2001,       0.000
00:00:00 07/20/2001,       0.000
00:00:00 07/21/2001,       0.000
00:00:00 07/22/2001,       0.000
00:00:00 07/23/2001,       0.000
00:00:00 07/24/2001,       0.000
00:00:00 07/25/2001,       0.000
00:00:00 07/26/2001,       0.000
00:00:00 07/27/2001,       0.000
00:00:00 07/28/2001,       0.000
00:00:00 07/29/2001,       0.000
00:00:00 07/30/2001,       0.000
00:00:00 07/31/2001,       0.000
00:00:00 08/01/2001,       0.000
00:00:00 08/02/2001,       0.000
00:00:00 08/03/2001,       0.000
00:00:00 08/04/2001,       0.000
00:00:00 08/05/2001,       0.000
00:00:00 08/06/2001,       0.000
00:00:00 08/07/2001,       0.000
00:00:00 08/08/2001,       0.000
00:00:00 08/09/2001,       0.000
00:00:00 08/10/2001,       0.000
00:00:00 08/11/2001,       0.000
00:00:00 08/12/2001,       0.000
00:00:00 08/13/2001,       0.000
00:00:00 08/14/2001,       0.000
00:00:00 08/15/2001,       0.000
00:00:00 08/16/2001,       0.000
00:00:00 08/17/2001,       0.000
00:00:00 08/18/2001,       0.000
00:00:00 08/19/2001,       0.000
00:00:00 08/20/2001,       0.000
00:00:00 08/21/2001,       0.000
00:00:00 08/22/2001,       0.000
00:00:00 08/23/2001,       0.000
00:00:00 08/24/2001,       0.000
00:00:00 08/25/2001,       0.000
00:00:00 08/26/2001,       0.000
00:00:00 08/27/2001,       0.000
00:00:00 08/28/2001,       0.000
00:00:00 08/29/2001,       0.000
00:00:00 08/30/2001,       0.000
00:00:00 08/31/2001,       0.000
00:00:00 09/01/2001,       0.000
00:00:00 09/02/2001,       0.000
00:00:00 09/03/2001,       0.000
00:00:00 09/04/2001,       0.000
00:00:00 09/05/2001,       0.000
00:00:00 09/06/2001,       0.000
00:00:00 09/07/2001,       0.000
00:00:00 09/08/2001,       0.000
00:00:00 09/09/2001,       0.000
00:00:00 09/10/2001,       0.000
00:00:00 09/11/2001,       0.000
